hard drive	硬盘
software	软件
space	空格
suitable version	适用版本
information	信息
feature	功能
user manual	用户手册
button	(-/+)按钮
user manual	用户手册
OmegaT	OmegaT
default	默认
verify	校验
project	项目
preference	偏好
paypal account	PayPal账号
certificate	证书
third-party software	第三方软件
installation type	安装类型
window	窗口
unrestricted access	无限制访问
state	状态
version	版本
register	注册
different version	不同版本
update	更新
something	一些
introduction	介绍
description	描述
thesis	论文
review	评论
level	第一级菜单文本颜色
project	项目
output	输出
input 	输入 
entry	在集合中显示条目反应
file	文件
memory	记忆
translation	翻译面板
preview	预览
omegat	OmegaT
function	函数
page	页
translation memory 	翻译记忆 
language	语言选择
translator	翻译
script	程序
filter	展开
philosophy	哲学
format	格式
documentation	到文档
text	文字：
open source	开放性
contact	联系
format	格式
compile	编译
source code	源代码
source 	来源 
compatibility	兼容性
howto	教程
encode	编码
usage 	用途 
next time	下次
preference	偏好
feild	领域
built-in version	内置版本
picker	选择器
remote	远程
process	过程
	
supplemental materia	补充材料
tokenizer	分词器
plural form	复数形式
plural form	复数形式
tokenizer	分词器
download collection	下载收藏
inserting source text	插入源文本
current translation	当前翻译
paradise	乐园
work	工作
language name	语言名称
soul	灵魂
supplemental material	补充材料
supplemental material	补充材料
whole search string	字符串搜索
ring	环
memory usage	内存使用
drink	喝
work	工作
end rebase	结束重置
wordar	字词
reference	引用
search window	搜索窗口
unknown plugin type	未知插件类型
loaded plugin	加载插件
close tag	结束标记
blank source	空源
perception	认知
console mode	控制台模式
console mode	控制台模式
drink	喝
drink	喝
whitelist	白名单
subscription	订阅
unknown plugin type	未知插件类型
ephemeral page	临时页面
work	工作
update channel	更新通道
warranty	保修书
attempt	尝试
ephemeral page	临时页面
file manager	文件管理器
file manager	文件管理器
empty tag	空标签
non-unique segment	非唯一段
tag name	标签名称
slide	滑动
row	行
orientation	方向
reduce output	减少输出
valid project file	有效项目文件
effect	影响
sample text	示例文本
tag-validation	标签验证
tag-validation	标签验证
working tree	工作树
text matching regular expression	文本匹配的正则表达式正则表达式
load plugin	加载插件
warranty	保修书
port	端口
then input	然后输入
similarity	相似度
attempt	尝试
warranty	保修书
processing	正在处理...
ephemeral page	临时页面
language name	语言名称
re-download	重下载
use custom	用户自定义
text file	文本文件
nts	nts
control	控制
text size	文本大小
search thread	搜索线程
picker	选择器
new entry	新条目
initializing marker	初始化标记
target folder	目标文件夹
updating glossary file	更新词汇表文件
victim	受害者
console-translate	控制台翻译
software manufacturer	软件制造商
ring	环
ring	环
distance	距离
winter	冬天
team mode project	团队模式项目
team mode project	团队模式项目
victim	受害者
ring	环
ring	环
slide	滑动
work	工作
work	工作
drop glossary	丢弃术语表
ephemeral page	临时页面
working tree	工作树
reference	引用
reference	引用
rude error message	错误消息
vanishing	消失
row	行
subscription	订阅
text matching regular expression	文本匹配的正则表达式正则表达式
winter	冬天
winter	冬天
file manager	文件管理器
warranty	保修书
spellchecking dictionary	拼写检查字典
victim	受害者
victim	受害者
then input	然后输入
then input	然后输入
reduce output	减少输出
language chain	语言链
ument	ument
fallback	缺陷
whitelist	白名单
start script	启动脚本
witch case	女巫案件
creator	创建人
default translation	默认翻译
whole search string	字符串搜索
row	行
text replacement	文本替代
text replacement	文本替代
subversion repository	子版本存储库
pace	节奏
pace	节奏
width char	宽度
width char	宽度
u sequence	ü序列
drop glossary	丢弃术语表
drop glossary	丢弃术语表
toggle	切换
team mode project	团队模式项目
single file	单文件
tokenizer	分词器
inserting source text	插入源文本
paradise	乐园
paradise	乐园
memory usage	内存使用
start script	启动脚本
perception	认知
work	工作
warranty	保修书
pace	节奏
appearance	外观
memory usage	内存使用
txt file	txt文件
see	顾客在你网站上看到的付款方式描述。
error decoding user	误差解码用户
error decoding user	误差解码用户
txt file	txt文件
ion folder	ino文件夹
paradise	乐园
perception	认知
summary	摘要
usage	用途
event	事件
connection	连接
java	java
external command	外部命令
exit code	退出代码
omegat	OmegaT
omegat	OmegaT
console-translate	控制台翻译
hor	HOR
o-populated status	状态
modification info text	修改信息
content	内容：
running	运行
content	内容：
service type	服务类型
decimal char	十进制字符
decimal char	十进制字符
unexpected char	意外的
fallback	缺陷
resegment	再分割
inserting source text	插入源文本
unrecoverable error	不可恢复的错误
warranty	保修书
project creating start	启动创建项目
nth group	组
comparison	比较
uto-completion	自动补全
modification info text	修改信息
modification info text	修改信息
target text	目标文本
display template	显示模板
building	建筑物
tag order	标签排序
style	风格
style	风格
attempt	尝试
effect	影响
creator	创建人
current set	当前集
team mode project	团队模式项目
compress whitespace	压缩空白
target folder	目标文件夹
software manufacturer	软件制造商
somebody	人
search window	搜索窗口
source file language	源文件语言
lide	
lide	
content	内容：
start omegat	启动omegat
enable character table	启用字符表
running omegat	运行OmegaT
maximum number	最大数量
unknown plugin type	未知插件类型
file manager	文件管理器
language attribute	语言属性
project administrator	项目管理员
start script	启动脚本
tmx file	tmx文件
creator	创建人
use custom	用户自定义
use custom	用户自定义
distance	距离
use custom	用户自定义
software manufacturer	软件制造商
perception	认知
bookmark	书签
current version	您当前版本
dialog	对话
usage information	用法信息
next time	下次
custom table	自定义表
stdout	标准输出
usage information	用法信息
usage information	用法信息
o-populated status	状态
parse error	解析错误
vanishing	消失
drink	喝
unauthorized request	未经授权的请求
synchronisation	同步状态
team team project tool	团队项目工具
tokenizer	分词器
ring	环
ephemeral page	临时页面
rude error message	错误消息
preserve	节约
text size	文本大小
auto-text configuration	自动文本配置
escape	规避
escape	规避
team mode project	团队模式项目
text size	文本大小
text size	文本大小
language name	语言名称
built-in version	内置版本
picker	选择器
victim	受害者
console mode	控制台模式
opening team project	打开团队项目
target folder	目标文件夹
running omegat	运行OmegaT
unexpected char	意外的
unexpected char	意外的
unexpected char	意外的
reduce output	减少输出
warranty	保修书
team mode project	团队模式项目
winter	冬天
winter	冬天
tag name	标签名称
tag name	标签名称
u sequence	ü序列
supplemental material	补充材料
reflang	
tokenizer	分词器
change date	变更日期
plural form	复数形式
plural form	复数形式
tokenizer	分词器
download collection	下载收藏
inserting source text	插入源文本
current translation	当前翻译
paradise	乐园
work	工作
language name	语言名称
soul	灵魂
supplemental material	补充材料
supplemental material	补充材料
whole search string	字符串搜索
ring	环
memory usage	内存使用
drink	喝
work	工作
end rebase	结束重置
wordar	字词
reference	引用
search window	搜索窗口
unknown plugin type	未知插件类型
loaded plugin	加载插件
close tag	结束标记
blank source	空源
perception	认知
console mode	控制台模式
console mode	控制台模式
drink	喝
drink	喝
whitelist	白名单
subscription	订阅
unknown plugin type	未知插件类型
ephemeral page	临时页面
work	工作
update channel	更新通道
warranty	保修书
attempt	尝试
ephemeral page	临时页面
file manager	文件管理器
file manager	文件管理器
empty tag	空标签
non-unique segment	非唯一段
tag name	标签名称
slide	滑动
row	行
orientation	方向
reduce output	减少输出
valid project file	有效项目文件
effect	影响
sample text	示例文本
tag-validation	标签验证
tag-validation	标签验证
working tree	工作树
text matching regular expression	文本匹配的正则表达式正则表达式
load plugin	加载插件
warranty	保修书
port	端口
then input	然后输入
similarity	相似度
attempt	尝试
warranty	保修书
processing	正在处理...
ephemeral page	临时页面
language name	语言名称
re-download	重下载
use custom	用户自定义
text file	文本文件
nts	nts
control	控制
text size	文本大小
search thread	搜索线程
picker	选择器
new entry	新条目
initializing marker	初始化标记
target folder	目标文件夹
updating glossary file	更新词汇表文件
victim	受害者
console-translate	控制台翻译
software manufacturer	软件制造商
ring	环
ring	环
distance	距离
winter	冬天
team mode project	团队模式项目
team mode project	团队模式项目
victim	受害者
ring	环
ring	环
slide	滑动
work	工作
work	工作
drop glossary	丢弃术语表
ephemeral page	临时页面
working tree	工作树
reference	引用
reference	引用
rude error message	错误消息
vanishing	消失
row	行
subscription	订阅
text matching regular expression	文本匹配的正则表达式正则表达式
winter	冬天
winter	冬天
file manager	文件管理器
warranty	保修书
spellchecking dictionary	拼写检查字典
victim	受害者
victim	受害者
then input	然后输入
then input	然后输入
reduce output	减少输出
language chain	语言链
ument	ument
fallback	缺陷
whitelist	白名单
start script	启动脚本
witch case	女巫案件
creator	创建人
default translation	默认翻译
whole search string	字符串搜索
row	行
text replacement	文本替代
text replacement	文本替代
subversion repository	子版本存储库
pace	节奏
pace	节奏
width char	宽度
width char	宽度
u sequence	ü序列
drop glossary	丢弃术语表
drop glossary	丢弃术语表
toggle	切换
team mode project	团队模式项目
single file	单文件
tokenizer	分词器
inserting source text	插入源文本
paradise	乐园
paradise	乐园
memory usage	内存使用
start script	启动脚本
perception	认知
work	工作
warranty	保修书
pace	节奏
appearance	外观
memory usage	内存使用
txt file	txt文件
see	顾客在你网站上看到的付款方式描述。
error decoding user	误差解码用户
error decoding user	误差解码用户
txt file	txt文件
ion folder	ino文件夹
