20-4-27 下午5:55
项目统计数据

       	 片段数	  单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	4936	38545	   212392	   245329	  46	
剩余片段：  	4216	33288	   183805	   212202	  39	
独特片段：  	4497	37188	   204114	   236138	  46	
剩余独特片段：	3908	32280	   177664	   205370	  39	


各文件统计数据：

文件名                                        	总片段数	剩余片段数	独特片段数	剩余独特片段数	总单词数	剩余单词数	独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
docbook/App_Dictionaries.xml               	  23	    1	   23	      1	 230	    7	  230	      7	      1262	         59	       1262	           59	      1473	         59	       1473	           59	
docbook/App_Glossaries.xml                 	  70	   70	   70	     70	1068	 1068	 1068	   1068	      5270	       5270	       5270	         5270	      6262	       6262	       6262	         6262	
docbook/App_Regexp.xml                     	 164	  164	  143	    143	 785	  785	  716	    716	      4109	       4109	       3695	         3695	      4703	       4703	       4250	         4250	
docbook/App_ShortCutCustomization.xml      	 333	  291	  304	    262	1065	  956	 1004	    895	      8485	       7774	       8176	         7465	      9102	       8324	       8761	         7983	
docbook/App_Spellchecker.xml               	  39	    0	   39	      0	 733	    0	  733	      0	      3881	          0	       3881	            0	      4579	          0	       4579	            0	
docbook/Dialogs_Preferences.xml            	 418	  413	  399	    395	5064	 5043	 4860	   4856	     26570	      26440	      25517	        25480	     31202	      31056	      29965	        29928	
docbook/Dialogs_ProjectProperties.xml      	  58	   55	   55	     54	 853	  849	  847	    846	      4637	       4601	       4578	         4571	      5426	       5389	       5364	         5357	
docbook/HowTo_ManageRTL.xml                	  37	   37	   37	     37	 621	  621	  621	    621	      3071	       3071	       3071	         3071	      3662	       3662	       3662	         3662	
docbook/HowTo_PreventDataLoss.xml          	  21	   21	   21	     21	 294	  294	  294	    294	      1503	       1503	       1503	         1503	      1772	       1772	       1772	         1772	
docbook/HowTo_ReuseTM.xml                  	  59	   59	   59	     59	1181	 1181	 1181	   1181	      5962	       5962	       5962	         5962	      7080	       7080	       7080	         7080	
